time, iteration, regSquaredError
2017-05-24 16:23:13,1,700643.473500463
2017-05-24 16:24:17,2,222892.436025957
2017-05-24 16:25:20,3,152756.552140792
2017-05-24 16:26:24,4,133443.15598558
2017-05-24 16:27:28,5,124959.149582944
2017-05-24 16:28:31,6,120389.453362074
2017-05-24 16:29:34,7,117622.229182365
time, iteration, regSquaredError
2017-05-25 12:06:59,1,700938.318191617
2017-05-25 12:07:58,2,222953.653760961
2017-05-25 12:09:00,3,152784.986946908
2017-05-25 12:10:15,4,133455.334351303
2017-05-25 12:11:10,5,124965.829872839
2017-05-25 12:12:02,6,120394.789843497
2017-05-25 12:12:54,7,117628.576485505
2017-05-25 12:13:46,8,115820.534250058
2017-05-25 12:14:38,9,114570.688889308
2017-05-25 12:15:30,10,113667.773839242
2017-05-25 12:16:22,11,112990.771164125
2017-05-25 12:17:14,12,112465.832137077
2017-05-25 12:18:06,13,112045.414783045
2017-05-25 12:18:58,14,111697.351185473
2017-05-25 12:19:50,15,111398.739291762
2017-05-25 12:20:42,16,111132.344671417
2017-05-25 12:21:34,17,110884.396743729
2017-05-25 12:22:25,18,110643.228864956
2017-05-25 12:23:17,19,110398.50373095
2017-05-25 12:24:09,20,110140.9275408
2017-05-25 12:25:01,21,109862.436139936
2017-05-25 12:25:54,22,109556.831492755
2017-05-25 12:26:46,23,109220.735058803
2017-05-25 12:27:38,24,108854.514673719
2017-05-25 12:28:29,25,108462.642896223
2017-05-25 12:29:21,26,108052.980017497
2017-05-25 12:30:17,27,107634.915659517
2017-05-25 12:31:10,28,107216.984864206
2017-05-25 12:32:03,29,106804.971745158
2017-05-25 12:32:56,30,106401.228807492
2017-05-25 12:33:50,31,106005.201692097
2017-05-25 12:34:44,32,105614.583575329
2017-05-25 12:35:38,33,105226.471779871
2017-05-25 12:36:32,34,104838.187504025
2017-05-25 12:37:25,35,104447.713714814
2017-05-25 12:38:18,36,104053.847104611
2017-05-25 12:39:11,37,103656.174811398
2017-05-25 12:40:04,38,103254.954419539
2017-05-25 12:40:56,39,102850.945597547
2017-05-25 12:41:50,40,102445.225813837
2017-05-25 12:42:46,41,102039.015703753
2017-05-25 12:43:39,42,101633.534353101
2017-05-25 12:44:31,43,101229.897240518
2017-05-25 12:45:26,44,100829.060162891
2017-05-25 12:46:19,45,100431.803638575
2017-05-25 12:47:13,46,100038.746465428
2017-05-25 12:48:12,47,99650.3753079994
2017-05-25 12:49:09,48,99267.0788192297
2017-05-25 12:50:03,49,98889.1783723873
2017-05-25 12:51:07,50,98516.9514228988
2017-05-25 12:52:05,51,98150.646744909
2017-05-25 12:53:04,52,97790.4928191654
2017-05-25 12:54:06,53,97436.7015037455
2017-05-25 12:55:03,54,97089.4690951635
2017-05-25 12:55:55,55,96748.9763687262
2017-05-25 12:56:52,56,96415.3885178343
2017-05-25 12:57:48,57,96088.8553269591
2017-05-25 12:58:40,58,95769.5115265558
2017-05-25 12:59:32,59,95457.4771054392
2017-05-25 13:00:26,60,95152.8573501691
2017-05-25 13:01:23,61,94855.7424730216
2017-05-25 13:02:15,62,94566.2068143158
2017-05-25 13:03:07,63,94284.3077154713
2017-05-25 13:04:04,64,94010.0842309735
2017-05-25 13:04:56,65,93743.5558749815
2017-05-25 13:05:49,66,93484.7215866308
2017-05-25 13:06:42,67,93233.5590594582
2017-05-25 13:07:37,68,92990.0245275925
2017-05-25 13:08:31,69,92754.0530457493
2017-05-25 13:09:30,70,92525.5592503466
2017-05-25 13:10:28,71,92304.4385503028
2017-05-25 13:11:28,72,92090.5686700155
2017-05-25 13:12:27,73,91883.8114542793
2017-05-25 13:13:21,74,91684.0148422896
2017-05-25 13:14:22,75,91491.0149242899
2017-05-25 13:15:15,76,91304.6380054376
2017-05-25 13:16:10,77,91124.7026156683
2017-05-25 13:17:06,78,90951.0214188237
2017-05-25 13:18:03,79,90783.4029881337
2017-05-25 13:19:02,80,90621.6534270077
2017-05-25 13:19:57,81,90465.5778241001
2017-05-25 13:20:51,82,90314.9815391501
2017-05-25 13:21:47,83,90169.6713220128
2017-05-25 13:22:40,84,90029.4562713184
2017-05-25 13:23:35,85,89894.1486419831
2017-05-25 13:24:27,86,89763.5645127096
2017-05-25 13:25:22,87,89637.5243254317
2017-05-25 13:26:16,88,89515.853309299
2017-05-25 13:27:11,89,89398.3818016726
2017-05-25 13:28:04,90,89284.9454784221
2017-05-25 13:29:00,91,89175.3855053234
2017-05-25 13:29:52,92,89069.5486215933
2017-05-25 13:30:46,93,88967.2871658729
2017-05-25 13:31:39,94,88868.4590541527
2017-05-25 13:32:31,95,88772.9277181553
2017-05-25 13:33:24,96,88680.5620117765
2017-05-25 13:34:16,97,88591.2360923403
2017-05-25 13:35:19,98,88504.8292825126
2017-05-25 13:36:21,99,88421.225917889
2017-05-25 13:37:21,100,88340.3151845191
2017-05-25 13:38:14,101,88261.9909499341
2017-05-25 13:39:07,102,88186.151590625
2017-05-25 13:40:00,103,88112.6998183456
2017-05-25 13:40:58,104,88041.5425071589
2017-05-25 13:41:51,105,87972.5905227257
2017-05-25 13:42:51,106,87905.7585549298
2017-05-25 13:43:48,107,87840.9649548126
2017-05-25 13:44:41,108,87778.1315762682
2017-05-25 13:45:36,109,87717.1836230342
2017-05-25 13:46:33,110,87658.0495011646
2017-05-25 13:47:28,111,87600.6606771799
2017-05-25 13:48:21,112,87544.9515418643
2017-05-25 13:49:13,113,87490.8592797098
2017-05-25 13:50:11,114,87438.3237438959
2017-05-25 13:51:06,115,87387.2873367017
2017-05-25 13:52:01,116,87337.6948951655
2017-05-25 13:52:54,117,87289.4935818107
2017-05-25 13:53:46,118,87242.6327802914
2017-05-25 13:54:40,119,87197.0639957022
2017-05-25 13:55:33,120,87152.7407594366
2017-05-25 13:56:26,121,87109.6185383388
2017-05-25 13:57:19,122,87067.6546479879
2017-05-25 13:58:11,123,87026.808169952
2017-05-25 13:59:03,124,86987.0398728042
2017-05-25 13:59:59,125,86948.3121367475
2017-05-25 14:00:57,126,86910.5888817116
2017-05-25 14:01:53,127,86873.8354987054
2017-05-25 14:02:48,128,86838.0187843705
2017-05-25 14:03:40,129,86803.1068784861
2017-05-25 14:04:34,130,86769.0692043771
2017-05-25 14:05:27,131,86735.8764120665
2017-05-25 14:06:27,132,86703.5003240332
2017-05-25 14:07:27,133,86671.9138834866
2017-05-25 14:08:23,134,86641.0911050111
2017-05-25 14:09:17,135,86611.0070274963
2017-05-25 14:10:10,136,86581.6376692521
2017-05-25 14:11:04,137,86552.9599851988
2017-05-25 14:11:58,138,86524.951826019
2017-05-25 14:12:51,139,86497.5918992135
2017-05-25 14:13:43,140,86470.859731959
2017-05-25 14:14:36,141,86444.7356356921
2017-05-25 14:15:28,142,86419.2006722946
2017-05-25 14:16:21,143,86394.2366218825
2017-05-25 14:17:14,144,86369.8259520513
2017-05-25 14:18:07,145,86345.9517885545
2017-05-25 14:19:01,146,86322.5978873259
2017-05-25 14:19:55,147,86299.7486077792
2017-05-25 14:20:49,148,86277.3888873346
2017-05-25 14:21:47,149,86255.5042171388
2017-05-25 14:22:40,150,86234.0806188264
2017-05-25 14:23:33,151,86213.1046224225
2017-05-25 14:24:27,152,86192.5632451748
2017-05-25 14:25:20,153,86172.443971395
2017-05-25 14:26:16,154,86152.7347331804
2017-05-25 14:27:10,155,86133.4238920215
2017-05-25 14:28:03,156,86114.5002212292
2017-05-25 14:28:56,157,86095.9528891484
2017-05-25 14:29:50,158,86077.7714431019
2017-05-25 14:30:45,159,86059.9457940898
2017-05-25 14:31:38,160,86042.4662021354
2017-05-25 14:32:30,161,86025.3232622727
2017-05-25 14:33:23,162,86008.5078911859
2017-05-25 14:34:20,163,85992.0113143854
2017-05-25 14:35:18,164,85975.8250540048
2017-05-25 14:36:14,165,85959.9409170745
2017-05-25 14:37:08,166,85944.3509843335
2017-05-25 14:38:03,167,85929.0475995227
2017-05-25 14:38:59,168,85914.0233591318
2017-05-25 14:39:51,169,85899.2711025976
2017-05-25 14:40:44,170,85884.7839029205
2017-05-25 14:41:37,171,85870.5550576727
2017-05-25 14:42:30,172,85856.5780803961
2017-05-25 14:43:23,173,85842.8466923827
2017-05-25 14:44:23,174,85829.3548147564
2017-05-25 14:45:23,175,85816.0965609424
2017-05-25 14:46:25,176,85803.0662294253
2017-05-25 14:47:20,177,85790.2582968169
2017-05-25 14:48:16,178,85777.6674112003
2017-05-25 14:49:18,179,85765.2883857788
2017-05-25 14:50:16,180,85753.1161927711
2017-05-25 14:51:18,181,85741.1459575591
2017-05-25 14:52:24,182,85729.372953077
2017-05-25 14:53:24,183,85717.7925944485
2017-05-25 14:54:23,184,85706.4004338239
2017-05-25 14:55:24,185,85695.1921554283
2017-05-25 14:56:23,186,85684.1635708365
2017-05-25 14:57:28,187,85673.3106144096
2017-05-25 14:58:25,188,85662.6293389302
2017-05-25 14:59:19,189,85652.1159114278
2017-05-25 15:00:17,190,85641.766609149
2017-05-25 15:01:20,191,85631.5778156964
2017-05-25 15:02:20,192,85621.546017333
2017-05-25 15:03:22,193,85611.6677994161
2017-05-25 15:04:27,194,85601.9398430027
2017-05-25 15:05:27,195,85592.3589215423
2017-05-25 15:06:30,196,85582.921897753
2017-05-25 15:07:32,197,85573.6257205826
2017-05-25 15:08:29,198,85564.4674223002
2017-05-25 15:09:29,199,85555.4441157076
2017-05-25 15:10:32,200,85546.5529914568
2017-05-25 15:11:31,201,85537.7913154675
2017-05-25 15:12:33,202,85529.156426427
2017-05-25 15:13:38,203,85520.6457334534
2017-05-25 15:14:33,204,85512.2567137344
2017-05-25 15:15:28,205,85503.9869103823
2017-05-25 15:16:26,206,85495.8339302723
2017-05-25 15:17:20,207,85487.7954420142
2017-05-25 15:18:23,208,85479.8691739861
2017-05-25 15:19:24,209,85472.052912438
2017-05-25 15:20:19,210,85464.3444996761
2017-05-25 15:21:22,211,85456.7418323033
2017-05-25 15:22:32,212,85449.2428595414
2017-05-25 15:23:27,213,85441.8455815847
2017-05-25 15:24:24,214,85434.5480480544
2017-05-25 15:25:20,215,85427.3483564798
2017-05-25 15:26:14,216,85420.2446508411
2017-05-25 15:27:25,217,85413.235120166
2017-05-25 15:28:29,218,85406.3179971882
2017-05-25 15:29:23,219,85399.4915570312
2017-05-25 15:30:16,220,85392.7541159573
2017-05-25 15:31:12,221,85386.1040301633
2017-05-25 15:32:08,222,85379.539694593
2017-05-25 15:33:09,223,85373.0595418204
2017-05-25 15:34:08,224,85366.6620409613
2017-05-25 15:35:01,225,85360.3456966115
2017-05-25 15:35:58,226,85354.1090478486
2017-05-25 15:36:59,227,85347.9506672287
2017-05-25 15:37:52,228,85341.8691598637
2017-05-25 15:38:48,229,85335.8631624877
2017-05-25 15:39:53,230,85329.9313425832
2017-05-25 15:40:49,231,85324.0723975261
2017-05-25 15:41:42,232,85318.2850537593
2017-05-25 15:42:38,233,85312.5680659921
2017-05-25 15:43:35,234,85306.9202164288
2017-05-25 15:44:34,235,85301.3403140235
2017-05-25 15:45:27,236,85295.8271937684
2017-05-25 15:46:34,237,85290.3797159725
2017-05-25 15:47:39,238,85284.9967656083
2017-05-25 15:48:39,239,85279.6772516526
2017-05-25 15:49:45,240,85274.420106435
2017-05-25 15:50:50,241,85269.2242850485
2017-05-25 15:51:46,242,85264.0887647479
2017-05-25 15:52:39,243,85259.0125443679
2017-05-25 15:53:31,244,85253.9946437822
2017-05-25 15:54:24,245,85249.0341033422
2017-05-25 15:55:17,246,85244.1299833679
2017-05-25 15:56:10,247,85239.2813636499
2017-05-25 15:57:03,248,85234.4873429287
2017-05-25 15:57:56,249,85229.7470384498
2017-05-25 15:58:48,250,85225.0595854858
2017-05-25 15:59:41,251,85220.4241368873
2017-05-25 16:00:34,252,85215.8398626539
2017-05-25 16:01:26,253,85211.3059495063
2017-05-25 16:02:19,254,85206.8216004888
2017-05-25 16:03:11,255,85202.3860345528
2017-05-25 16:04:04,256,85197.9984861916
2017-05-25 16:04:56,257,85193.6582050577
2017-05-25 16:05:49,258,85189.364455589
2017-05-25 16:06:42,259,85185.1165166736
2017-05-25 16:07:35,260,85180.9136812976
2017-05-25 16:08:27,261,85176.7552561969
2017-05-25 16:09:20,262,85172.6405615658
2017-05-25 16:10:12,263,85168.5689307303
2017-05-25 16:11:06,264,85164.539709812
2017-05-25 16:12:03,265,85160.5522574801
2017-05-25 16:12:57,266,85156.6059446277
2017-05-25 16:13:53,267,85152.7001540861
2017-05-25 16:14:46,268,85148.8342804024
2017-05-25 16:15:43,269,85145.0077294965
2017-05-25 16:16:35,270,85141.2199184701
2017-05-25 16:17:37,271,85137.470275318
2017-05-25 16:18:44,272,85133.7582386909
2017-05-25 16:19:52,273,85130.0832576582
2017-05-25 16:20:51,274,85126.4447914812
2017-05-25 16:21:44,275,85122.8423093832
2017-05-25 16:22:51,276,85119.2752903154
2017-05-25 16:23:52,277,85115.7432227672
2017-05-25 16:24:52,278,85112.2456045388
2017-05-25 16:25:53,279,85108.7819425561
2017-05-25 16:26:55,280,85105.3517526427
2017-05-25 16:27:57,281,85101.9545593589
2017-05-25 16:28:56,282,85098.5898958022
2017-05-25 16:29:57,283,85095.2573034019
2017-05-25 16:30:58,284,85091.9563317843
2017-05-25 16:31:58,285,85088.6865385633
2017-05-25 16:32:59,286,85085.4474891817
2017-05-25 16:34:03,287,85082.2387567462
2017-05-25 16:35:10,288,85079.0599218656
2017-05-25 16:36:10,289,85075.9105724965
2017-05-25 16:37:14,290,85072.7903037859
2017-05-25 16:38:09,291,85069.6987179168
2017-05-25 16:39:09,292,85066.6354239762
2017-05-25 16:40:13,293,85063.6000377912
2017-05-25 16:41:14,294,85060.5921818184
2017-05-25 16:42:17,295,85057.6114849792
2017-05-25 16:43:21,296,85054.6575825477
2017-05-25 16:44:20,297,85051.730116009
2017-05-25 16:45:16,298,85048.8287329404
2017-05-25 16:46:18,299,85045.953086888
2017-05-25 16:47:18,300,85043.1028372372
2017-05-25 16:48:20,301,85040.2776491106
2017-05-25 16:49:27,302,85037.4771932378
2017-05-25 16:50:31,303,85034.7011458534
2017-05-25 16:51:36,304,85031.9491885853
2017-05-25 16:52:37,305,85029.2210083368
2017-05-25 16:53:38,306,85026.516297207
2017-05-25 16:54:37,307,85023.8347523614
2017-05-25 16:55:38,308,85021.1760759563
2017-05-25 16:56:35,309,85018.539975014
2017-05-25 16:57:31,310,85015.9261613605
2017-05-25 16:58:30,311,85013.3343514995
2017-05-25 16:59:31,312,85010.7642665434
2017-05-25 17:00:42,313,85008.2156321238
2017-05-25 17:01:46,314,85005.6881782873
2017-05-25 17:02:52,315,85003.1816394294
2017-05-25 17:03:54,316,85000.6957541982
2017-05-25 17:04:59,317,84998.2302654299
2017-05-25 17:05:53,318,84995.7849200403
2017-05-25 17:06:57,319,84993.3594689762
2017-05-25 17:07:49,320,84990.9536671311
2017-05-25 17:08:42,321,84988.5672732643
2017-05-25 17:09:34,322,84986.2000499237
2017-05-25 17:10:27,323,84983.8517633922
2017-05-25 17:11:20,324,84981.5221835997
2017-05-25 17:12:13,325,84979.2110840768
2017-05-25 17:13:06,326,84976.9182418709
2017-05-25 17:13:58,327,84974.6434374665
2017-05-25 17:14:50,328,84972.3864547656
2017-05-25 17:15:43,329,84970.1470809864
2017-05-25 17:16:36,330,84967.9251066201
2017-05-25 17:17:28,331,84965.7203253643
2017-05-25 17:18:20,332,84963.5325340634
2017-05-25 17:19:13,333,84961.3615326608
2017-05-25 17:20:05,334,84959.2071241289
2017-05-25 17:20:58,335,84957.0691144274
2017-05-25 17:21:50,336,84954.9473124422
2017-05-25 17:22:43,337,84952.8415299386
2017-05-25 17:23:35,338,84950.7515814886
2017-05-25 17:24:28,339,84948.6772844512
2017-05-25 17:25:20,340,84946.6184589171
2017-05-25 17:26:13,341,84944.5749276304
2017-05-25 17:27:06,342,84942.5465159778
2017-05-25 17:27:58,343,84940.5330519165
2017-05-25 17:28:51,344,84938.534365949
2017-05-25 17:29:43,345,84936.5502910644
2017-05-25 17:30:36,346,84934.5806626976
2017-05-25 17:31:28,347,84932.6253186815
2017-05-25 17:32:21,348,84930.6840992274
2017-05-25 17:33:14,349,84928.7568468529
2017-05-25 17:34:07,350,84926.8434063613
2017-05-25 17:35:00,351,84924.9436247999
2017-05-25 17:35:53,352,84923.0573514145
2017-05-25 17:36:45,353,84921.1844376116
2017-05-25 17:37:38,354,84919.3247369371
2017-05-25 17:38:31,355,84917.4781050198
2017-05-25 17:39:23,356,84915.6443995399
2017-05-25 17:40:16,357,84913.8234802105
2017-05-25 17:41:09,358,84912.0152087183
2017-05-25 17:42:01,359,84910.2194487037
2017-05-25 17:42:54,360,84908.4360657336
2017-05-25 17:43:46,361,84906.6649272528
2017-05-25 17:44:39,362,84904.9059025714
2017-05-25 17:45:31,363,84903.1588628112
2017-05-25 17:46:24,364,84901.423680904
2017-05-25 17:47:16,365,84899.7002315277
2017-05-25 17:48:09,366,84897.9883910985
2017-05-25 17:49:02,367,84896.2880377495
2017-05-25 17:49:54,368,84894.5990512803
2017-05-25 17:50:47,369,84892.9213131408
