time, iteration, regSquaredError
2017-05-24 17:32:36,1,697177.321363939
2017-05-24 17:33:30,2,221615.350099695
2017-05-24 17:34:24,3,152158.615967954
2017-05-24 17:35:20,4,133071.365365118
2017-05-24 17:36:14,5,124699.287462208
2017-05-24 17:37:08,6,120191.774179078
2017-05-24 17:38:02,7,117461.899606498
2017-05-24 17:38:55,8,115674.851170526
2017-05-24 17:39:49,9,114436.412664725
2017-05-24 17:40:43,10,113538.189356177
2017-05-24 17:41:38,11,112860.498617263
2017-05-24 17:42:33,12,112329.904870289
2017-05-24 17:43:26,13,111898.64299178
2017-05-24 17:44:21,14,111533.819411859
2017-05-24 17:45:15,15,111211.378611708
2017-05-24 17:46:07,16,110912.587108201
2017-05-24 17:47:00,17,110621.985967861
2017-05-24 17:47:53,18,110326.335858641
2017-05-24 17:48:46,19,110014.363627583
2017-05-24 17:49:40,20,109677.221628773
2017-05-24 17:50:32,21,109309.497012058
2017-05-24 17:51:25,22,108910.362010014
2017-05-24 17:52:18,23,108484.159120561
2017-05-24 17:53:11,24,108039.672877416
2017-05-24 17:54:04,25,107587.861516034
2017-05-24 17:54:57,26,107138.774747273
2017-05-24 17:55:50,27,106699.031112588
2017-05-24 17:56:43,28,106270.903179638
2017-05-24 17:57:36,29,105853.020841656
2017-05-24 17:58:29,30,105441.888894981
2017-05-24 17:59:22,31,105033.3577656
2017-05-24 18:00:15,32,104623.616703852
2017-05-24 18:01:08,33,104209.691064435
2017-05-24 18:02:01,34,103789.600791142
2017-05-24 18:02:53,35,103362.336065137
2017-05-24 18:03:46,36,102927.748447231
2017-05-24 18:04:39,37,102486.407265867
2017-05-24 18:05:32,38,102039.444285212
2017-05-24 18:06:25,39,101588.397524239
2017-05-24 18:07:20,40,101135.059855137
2017-05-24 18:08:14,41,100681.336365369
2017-05-24 18:09:08,42,100229.115285125
2017-05-24 18:10:02,43,99780.1591054059
2017-05-24 18:10:57,44,99336.0231924401
2017-05-24 18:11:53,45,98898.007179683
2017-05-24 18:12:48,46,98467.1398681002
2017-05-24 18:13:42,47,98044.1930445069
2017-05-24 18:14:42,48,97629.71563448
2017-05-24 18:15:38,49,97224.0781605778
2017-05-24 18:16:33,50,96827.5185159355
2017-05-24 18:17:26,51,96440.1826428905
2017-05-24 18:18:20,52,96062.1566879867
2017-05-24 18:19:15,53,95693.4897535736
2017-05-24 18:20:10,54,95334.2081038968
2017-05-24 18:21:05,55,94984.3225945972
2017-05-24 18:21:58,56,94643.8313568859
2017-05-24 18:22:52,57,94312.7196108743
2017-05-24 18:23:45,58,93990.9581098115
2017-05-24 18:24:42,59,93678.5012777887
2017-05-24 18:25:36,60,93375.2856921276
2017-05-24 18:26:29,61,93081.2292276045
2017-05-24 18:27:23,62,92796.2309407431
2017-05-24 18:28:17,63,92520.1716238866
2017-05-24 18:29:12,64,92252.9148852147
2017-05-24 18:30:08,65,91994.308591144
2017-05-24 18:31:04,66,91744.1865215166
2017-05-24 18:31:57,67,91502.3701181269
2017-05-24 18:32:53,68,91268.670241542
2017-05-24 18:33:50,69,91042.8888818005
2017-05-24 18:34:44,70,90824.8207922631
2017-05-24 18:35:37,71,90614.255031645
2017-05-24 18:36:31,72,90410.9764084285
2017-05-24 18:37:24,73,90214.7668260928
2017-05-24 18:38:19,74,90025.4065288969
2017-05-24 18:39:18,75,89842.6752479786
2017-05-24 18:40:17,76,89666.3532471454
2017-05-24 18:41:14,77,89496.2222677637
2017-05-24 18:42:10,78,89332.066372603
2017-05-24 18:43:05,79,89173.6726895083
2017-05-24 18:44:02,80,89020.8320569434
2017-05-24 18:44:58,81,88873.3395747893
2017-05-24 18:45:55,82,88730.9950650017
2017-05-24 18:46:51,83,88593.6034476643
2017-05-24 18:47:50,84,88460.9750388116
2017-05-24 18:48:47,85,88332.9257766845
2017-05-24 18:49:40,86,88209.2773834451
2017-05-24 18:50:34,87,88089.8574691704
2017-05-24 18:51:29,88,87974.4995849653
2017-05-24 18:52:22,89,87863.043231587
2017-05-24 18:53:17,90,87755.3338296608
2017-05-24 18:54:12,91,87651.22265722
2017-05-24 18:55:07,92,87550.5667596997
2017-05-24 18:56:01,93,87453.2288372451
2017-05-24 18:56:57,94,87359.07711358
2017-05-24 18:57:52,95,87267.9851903458
2017-05-24 18:58:46,96,87179.8318902985
2017-05-24 18:59:40,97,87094.5010924042
2017-05-24 19:00:33,98,87011.8815614424
2017-05-24 19:01:27,99,86931.8667743147
2017-05-24 19:02:21,100,86854.3547450249
